,Order,Stage,Start,Finish,Duration
16,35,5,62.415997,63.045,0.6290016
1,36,0,2.0,3.0,1.0
3,36,1,19.350002,20.800003,1.4500008
7,36,2,20.800003,21.800003,1.0
10,36,3,41.581997,42.347996,0.76599884
11,36,4,49.684,49.934,0.25
0,37,0,11.0,12.0,1.0
2,37,1,19.7,21.150002,1.4500008
6,37,2,21.150002,22.150002,1.0
9,37,3,28.747004,29.118004,0.3710003
11,37,4,41.934,42.684,0.75
16,37,5,43.538,43.642,0.10400009
1,38,0,7.0,8.0,1.0
2,38,1,24.050003,25.500004,1.4500008
5,38,2,25.500004,26.500004,1.0
10,38,3,30.957005,31.605005,0.6480007
11,38,4,41.184,41.684,0.5
16,38,5,41.684,42.318996,0.6349983
0,39,0,2.0,3.0,1.0
2,39,1,12.45,13.9,1.4499998
5,39,2,30.315004,31.315004,1.0
9,39,3,40.131,40.378002,0.24700165
11,39,4,49.434,49.684,0.25
16,39,5,51.807995,51.876995,0.069000244
0,40,0,1.0,2.0,1.0
3,40,1,2.0,3.45,1.45
5,40,2,12.9,14.715,1.8150005
10,40,3,14.715,15.357,0.6420002
11,40,4,15.357,15.607,0.25
16,40,5,15.607,16.236,0.6289997
1,41,0,3.0,4.0,1.0
3,41,1,23.700005,25.150005,1.4500008
5,41,2,42.575,43.575,1.0
10,41,3,44.39799,45.16399,0.76599884
11,41,4,47.684,47.934,0.25
0,42,0,0.0,1.0,1.0
3,42,1,3.45,4.9,1.45
5,42,2,38.760002,39.760002,1.0
9,42,3,39.760002,40.131,0.37099838
11,42,4,47.934,48.684,0.75
16,42,5,49.715,49.819,0.10400009
1,43,0,0.0,1.0,1.0
2,43,1,41.450012,42.900013,1.4500008
5,43,2,47.575,48.575,1.0
10,43,3,50.57198,51.21998,0.6479988
11,43,4,58.684,59.184,0.5
16,43,5,59.184,59.818996,0.6349983
0,44,0,16.0,17.0,1.0
2,44,1,22.600002,24.050003,1.4500008
6,44,2,27.950005,28.950005,1.0
9,44,3,43.068012,43.315014,0.24700165
11,44,4,55.684,55.934,0.25
16,44,5,55.934,56.003,0.069000244
1,45,0,6.0,7.0,1.0
3,45,1,22.250004,23.700005,1.4500008
5,45,2,36.945004,38.760002,1.8149986
10,45,3,38.760002,39.402,0.6419983
11,45,4,47.434,47.684,0.25
16,45,5,47.684,48.313,0.6290016
1,46,0,19.0,20.0,1.0
2,46,1,35.65001,37.10001,1.4500008
7,46,2,37.10001,38.10001,1.0
10,46,3,51.985977,52.751976,0.76599884
11,46,4,56.184,56.434,0.25
0,47,0,23.0,24.0,1.0
3,47,1,33.85001,35.30001,1.4500008
7,47,2,41.55001,42.55001,1.0
8,47,3,43.82101,44.19201,0.37099838
11,47,4,53.934,54.684,0.75
16,47,5,55.302,55.406,0.10400009
0,48,0,13.0,14.0,1.0
2,48,1,29.850006,31.300007,1.4500008
5,48,2,43.575,44.575,1.0
10,48,3,45.92999,46.577988,0.6479988
11,48,4,46.934,47.434,0.5
16,48,5,51.068996,51.703995,0.6349983
0,49,0,6.0,7.0,1.0
3,49,1,10.45,11.9,1.4499998
5,49,2,11.9,12.9,1.0
8,49,3,16.720999,16.967999,0.24699974
11,49,4,44.934,45.184,0.25
16,49,5,48.382,48.451,0.069000244
