,Order,Stage,Start,Finish,Duration
16,35,5,32.026005,32.655006,0.6290016
1,36,0,1.0,2.0,1.0
3,36,1,2.45,3.9,1.45
6,36,2,3.9,4.9,1.0
10,36,3,5.337,6.1029997,0.7659998
11,36,4,6.1029997,6.3529997,0.25
0,37,0,18.0,19.0,1.0
2,37,1,20.400002,21.850002,1.4500008
6,37,2,21.850002,22.850002,1.0
8,37,3,22.850002,23.221003,0.3710003
11,37,4,23.221003,23.971003,0.75
16,37,5,23.971003,24.075003,0.10400009
1,38,0,18.0,19.0,1.0
2,38,1,21.850002,23.300003,1.4500008
6,38,2,23.300003,24.300003,1.0
10,38,3,24.88,25.528,0.6480007
12,38,4,25.528,26.368,0.84000015
16,38,5,26.368,27.003,0.6350002
1,39,0,22.0,23.0,1.0
3,39,1,30.000006,31.450006,1.4500008
7,39,2,31.450006,32.450005,0.9999981
9,39,3,32.450005,32.697006,0.24700165
11,39,4,32.697006,32.947006,0.25
16,39,5,32.947006,33.016006,0.069000244
1,40,0,9.0,10.0,1.0
4,40,1,10.0,12.331,2.3310003
5,40,2,12.331,14.146,1.8149996
10,40,3,14.146,14.788,0.6420002
12,40,4,14.788,15.208,0.42000008
16,40,5,15.208,15.837,0.6289997
1,41,0,16.0,17.0,1.0
3,41,1,18.4,19.85,1.4500008
5,41,2,19.85,20.85,1.0
10,41,3,20.85,21.616001,0.76600075
12,41,4,21.616001,22.036001,0.42000008
1,42,0,12.0,13.0,1.0
3,42,1,15.499999,16.949999,1.4499998
7,42,2,16.949999,17.949999,1.0
8,42,3,17.949999,18.321,0.3710003
12,42,4,18.321,19.581,1.2600002
16,42,5,19.581,19.685,0.10400009
0,43,0,11.0,12.0,1.0
3,43,1,12.599999,14.049999,1.4499998
7,43,2,14.049999,15.049999,1.0
10,43,3,15.554,16.202,0.64799976
13,43,4,16.202,17.042,0.84000015
16,43,5,17.042,17.677,0.6350002
1,44,0,20.0,21.0,1.0
3,44,1,21.300001,22.750002,1.4500008
5,44,2,22.750002,23.750002,1.0
8,44,3,23.750002,23.997002,0.24699974
11,44,4,23.997002,24.247002,0.25
16,44,5,24.247002,24.316002,0.069000244
0,45,0,0.0,1.0,1.0
3,45,1,1.0,2.45,1.45
7,45,2,2.45,4.6949997,2.2449996
10,45,3,4.6949997,5.337,0.6420002
13,45,4,5.337,5.757,0.42000008
15,45,5,5.757,7.9589996,2.2019997
1,46,0,10.0,11.0,1.0
2,46,1,11.699999,13.149999,1.4499998
6,46,2,13.149999,14.149999,1.0
10,46,3,14.788,15.554,0.7659998
12,46,4,15.554,15.974,0.42000008
1,47,0,19.0,20.0,1.0
3,47,1,24.200003,25.650003,1.4500008
5,47,2,25.650003,26.650003,1.0
8,47,3,26.650003,27.021004,0.3710003
13,47,4,27.021004,28.281004,1.2600002
14,47,5,28.281004,28.645004,0.36400032
1,48,0,15.0,16.0,1.0
2,48,1,16.05,17.5,1.4500008
6,48,2,17.5,18.5,1.0
10,48,3,18.5,19.148,0.6480007
11,48,4,19.148,19.648,0.5
14,48,5,19.648,21.87,2.2220001
0,49,0,14.0,15.0,1.0
3,49,1,19.85,21.300001,1.4500008
5,49,2,21.300001,22.300001,1.0
8,49,3,22.300001,22.547,0.24699974
11,49,4,22.547,22.797,0.25
16,49,5,22.797,22.866001,0.069000244
