,Order,Stage,Start,Finish,Duration
3,32,1,26.800001,28.250002,1.4500008
6,32,2,28.250002,29.250002,1.0
9,32,3,29.250002,29.621002,0.3710003
11,32,4,29.621002,30.371002,0.75
15,32,5,30.371002,30.735003,0.36400032
1,33,0,17.0,18.0,1.0
3,33,1,35.500004,36.950005,1.4500008
6,33,2,36.950005,37.950005,1.0
10,33,3,37.950005,38.598003,0.6479988
11,33,4,38.598003,39.098003,0.5
15,33,5,40.642002,42.864002,2.2220001
0,34,0,1.0,2.0,1.0
3,34,1,2.45,3.9,1.45
7,34,2,3.9,4.9,1.0
8,34,3,4.9,5.1470003,0.24700022
12,34,4,5.1470003,5.5670004,0.42000008
14,34,5,5.5670004,5.8090005,0.2420001
0,35,0,24.0,25.0,1.0
3,35,1,39.850006,41.300007,1.4500008
6,35,2,46.435005,48.680004,2.244999
10,35,3,48.680004,49.322002,0.6419983
11,35,4,49.322002,49.572002,0.25
14,35,5,50.498,52.7,2.2019997
1,36,0,6.0,7.0,1.0
2,36,1,14.049999,15.499999,1.4499998
7,36,2,15.499999,16.5,1.000001
10,36,3,16.5,17.266,0.76600075
13,36,4,17.266,17.686,0.42000008
1,37,0,12.0,13.0,1.0
3,37,1,28.250002,29.700003,1.4500008
5,37,2,29.700003,30.700003,1.0
9,37,3,30.700003,31.071003,0.3710003
11,37,4,31.071003,31.821003,0.75
15,37,5,31.821003,32.185,0.3639984
1,38,0,15.0,16.0,1.0
3,38,1,32.600002,34.050003,1.4500008
5,38,2,34.050003,35.050003,1.0
10,38,3,35.050003,35.698,0.6479988
11,38,4,35.698,36.198,0.5
15,38,5,36.198,38.420002,2.2220001
1,39,0,1.0,2.0,1.0
2,39,1,2.45,3.9,1.45
5,39,2,3.9,4.9,1.0
9,39,3,4.9,5.1470003,0.24700022
11,39,4,5.1470003,5.3970003,0.25
15,39,5,5.3970003,5.6390004,0.2420001
1,40,0,24.0,25.0,1.0
4,40,1,39.648003,41.979004,2.3310013
7,40,2,45.340004,47.585003,2.244999
10,40,3,47.719,48.361,0.6419983
12,40,4,48.361,48.781,0.41999817
16,40,5,49.880005,50.509007,0.6290016
1,41,0,7.0,8.0,1.0
2,41,1,16.949999,18.4,1.4500008
7,41,2,18.4,19.4,1.0
10,41,3,19.4,20.166,0.76600075
13,41,4,20.166,20.586,0.42000008
0,42,0,13.0,14.0,1.0
2,42,1,30.000006,31.450006,1.4500008
5,42,2,31.450006,32.450005,0.9999981
9,42,3,32.521,32.892,0.37099838
12,42,4,32.892,34.151997,1.2599983
14,42,5,34.151997,34.515995,0.3639984
1,43,0,19.0,20.0,1.0
3,43,1,38.400005,39.850006,1.4500008
7,43,2,39.850006,40.850006,1.0
10,43,3,40.850006,41.498005,0.6479988
11,43,4,41.498005,41.998005,0.5
15,43,5,45.086002,47.308002,2.2220001
0,44,0,3.0,4.0,1.0
2,44,1,6.8,8.25,1.4499998
6,44,2,8.25,9.25,1.0
8,44,3,9.25,9.497,0.24699974
11,44,4,9.497,9.747,0.25
16,44,5,9.747,9.816,0.069000244
0,45,0,22.0,23.0,1.0
